"","sciname","FoodI","FoodII","FoodIII","Commoness","PredatorStage","SpecCode"
"573","Semicossyphus darwini","zoobenthos","mollusks","bivalves",7.4,"juv./adults",12859
"574","Semicossyphus darwini","zoobenthos","mollusks","chitons",3.08,"juv./adults",12859
"575","Semicossyphus darwini","zoobenthos","mollusks","crabs",2.46,"juv./adults",12859
"576","Semicossyphus darwini","zoobenthos","mollusks","crabs",0.61,"juv./adults",12859
"577","Semicossyphus darwini","zoobenthos","mollusks","gastropods",13.58,"juv./adults",12859
"578","Semicossyphus darwini","zoobenthos","mollusks","gastropods",0.61,"juv./adults",12859
"579","Semicossyphus darwini","zoobenthos","mollusks","gastropods",11.11,"juv./adults",12859
"580","Semicossyphus darwini","zoobenthos","mollusks","gastropods",0.61,"juv./adults",12859
"581","Semicossyphus darwini","zoobenthos","mollusks","gastropods",0.61,"juv./adults",12859
"582","Semicossyphus darwini","zoobenthos","mollusks","gastropods",7.4,"juv./adults",12859
"583","Semicossyphus darwini","zoobenthos","mollusks","gastropods",6.17,"juv./adults",12859
"584","Semicossyphus darwini","zoobenthos","mollusks","gastropods",1.85,"juv./adults",12859
"585","Semicossyphus pulcher","zoobenthos","benth. crust.","amphipods",NA,"recruits/juv.",3671
"586","Semicossyphus pulcher","zoobenthos","benth. crust.","amphipods",NA,"recruits/juv.",3671
"587","Semicossyphus pulcher","zoobenthos","benth. crust.","amphipods",NA,"recruits/juv.",3671
"588","Semicossyphus pulcher","zoobenthos","benth. crust.","amphipods",NA,"recruits/juv.",3671
"589","Semicossyphus pulcher","zoobenthos","benth. crust.","amphipods",NA,"recruits/juv.",3671
"590","Semicossyphus pulcher","zoobenthos","benth. crust.","amphipods",NA,"recruits/juv.",3671
"591","Semicossyphus pulcher","zoobenthos","benth. crust.","amphipods",NA,"recruits/juv.",3671
"592","Semicossyphus pulcher","zoobenthos","benth. crust.","crabs",NA,"juv./adults",3671
"593","Semicossyphus pulcher","zoobenthos","benth. crust.","lobsters",NA,"juv./adults",3671
"594","Semicossyphus pulcher","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"recruits/juv.",3671
"595","Semicossyphus pulcher","zoobenthos","benth. crust.","ostracods",NA,"recruits/juv.",3671
"596","Semicossyphus pulcher","zoobenthos","benth. crust.","ostracods",NA,"recruits/juv.",3671
"597","Semicossyphus pulcher","zoobenthos","benth. crust.","shrimps/prawns",NA,"recruits/juv.",3671
"598","Semicossyphus pulcher","zoobenthos","echinoderms","n.a./other echinoderms",NA,"recruits/juv.",3671
"599","Semicossyphus pulcher","zoobenthos","echinoderms","sea stars/brittle stars",NA,"recruits/juv.",3671
"600","Semicossyphus pulcher","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",3671
"601","Semicossyphus pulcher","zoobenthos","mollusks","bivalves",NA,"recruits/juv.",3671
"602","Semicossyphus pulcher","zoobenthos","mollusks","bivalves",NA,"recruits/juv.",3671
"603","Semicossyphus pulcher","zoobenthos","mollusks","bivalves",NA,"recruits/juv.",3671
"604","Semicossyphus pulcher","zoobenthos","mollusks","bivalves",NA,"recruits/juv.",3671
"605","Semicossyphus pulcher","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",3671
"606","Semicossyphus pulcher","zoobenthos","worms","polychaetes",NA,"recruits/juv.",3671
"607","Semicossyphus pulcher","zoobenthos","worms","polychaetes",NA,"recruits/juv.",3671
"608","Semicossyphus pulcher","zoobenthos","worms","polychaetes",NA,"recruits/juv.",3671
"609","Semicossyphus reticulatus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",53,"juv./adults",23626
"610","Semicossyphus reticulatus","zoobenthos","mollusks","n.a./other mollusks",21,"juv./adults",23626
"611","Stethojulis albovittata","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",8025
"612","Stethojulis albovittata","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",8025
"613","Stethojulis balteata","zoobenthos","mollusks","bivalves",NA,"juv./adults",7828
"614","Stethojulis balteata","zoobenthos","mollusks","gastropods",NA,"juv./adults",7828
"615","Stethojulis balteata","zoobenthos","worms","non-annelids",NA,"juv./adults",7828
"616","Stethojulis balteata","zoobenthos","worms","polychaetes",NA,"juv./adults",7828
"617","Stethojulis balteata","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",7828
"618","Stethojulis bandanensis","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",15,"juv./adults",5640
"619","Stethojulis bandanensis","zooplankton","plank. crust.","n.a./other plank. crustaceans",62,"juv./adults",5640
"620","Stethojulis interrupta","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",6633
"621","Stethojulis strigiventer","detritus","detritus","debris",NA,"recruits/juv.",5641
"622","Stethojulis strigiventer","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",5641
"623","Stethojulis strigiventer","zoobenthos","benth. crust.","benth. copepods",NA,"recruits/juv.",5641
"624","Stethojulis strigiventer","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5641
"625","Stethojulis strigiventer","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",5641
"626","Stethojulis terina","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",57374
"627","Suezichthys arquatus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",4412
"628","Suezichthys aylingi","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"adults",4406
"629","Suezichthys gracilis","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",4407
"630","Suezichthys gracilis","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",4407
"631","Suezichthys gracilis","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",4407
"632","Suezichthys gracilis","zoobenthos","worms","polychaetes",NA,"juv./adults",4407
"633","Symphodus cinereus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",1791
"634","Symphodus cinereus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",1791
"635","Symphodus cinereus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",1791
"636","Symphodus cinereus","zoobenthos","benth. crust.","benth. copepods",NA,"juv./adults",1791
"637","Symphodus cinereus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",1791
"638","Symphodus cinereus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",1791
"639","Symphodus cinereus","zoobenthos","mollusks","bivalves",NA,"juv./adults",1791
"640","Symphodus cinereus","zoobenthos","mollusks","gastropods",NA,"juv./adults",1791
"641","Symphodus cinereus","zoobenthos","mollusks","gastropods",NA,"juv./adults",1791
"642","Symphodus cinereus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",1791
"643","Symphodus cinereus","zoobenthos","worms","polychaetes",NA,"juv./adults",1791
"644","Symphodus cinereus","zoobenthos","worms","polychaetes",NA,"juv./adults",1791
"645","Symphodus cinereus","zooplankton","plank. crust.","euphausiids",NA,"juv./adults",1791
"646","Symphodus doderleini","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",54573
"647","Symphodus doderleini","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",54573
"648","Symphodus doderleini","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",54573
"649","Symphodus doderleini","zoobenthos","worms","n.a./other annelids",NA,"juv./adults",54573
"650","Symphodus mediterraneus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4578
"651","Symphodus mediterraneus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",4578
"652","Symphodus mediterraneus","zoobenthos","benth. crust.","benth. copepods",NA,"juv./adults",4578
"653","Symphodus mediterraneus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",4578
"654","Symphodus mediterraneus","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",4578
"655","Symphodus mediterraneus","zoobenthos","mollusks","bivalves",NA,"juv./adults",4578
"656","Symphodus mediterraneus","zoobenthos","mollusks","chitons",NA,"juv./adults",4578
"657","Symphodus mediterraneus","zoobenthos","mollusks","gastropods",NA,"juv./adults",4578
"658","Symphodus mediterraneus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",4578
"659","Symphodus mediterraneus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",4578
"660","Symphodus mediterraneus","zoobenthos","worms","polychaetes",NA,"juv./adults",4578
"661","Symphodus melanocercus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",16339
"662","Symphodus melanocercus","zoobenthos","benth. crust.","benth. copepods",NA,"juv./adults",16339
"663","Symphodus melanocercus","zoobenthos","mollusks","bivalves",NA,"juv./adults",16339
"664","Symphodus melanocercus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",16339
"665","Symphodus melanocercus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",16339
"666","Symphodus melanocercus","zoobenthos","worms","n.a./other annelids",NA,"juv./adults",16339
"667","Symphodus melops","plants","other plants","benthic algae/weeds",NA,"juv./adults",59
"668","Symphodus melops","plants","other plants","benthic algae/weeds",NA,"juv./adults",59
"669","Symphodus melops","plants","other plants","benthic algae/weeds",NA,"juv./adults",59
"670","Symphodus melops","zoobenthos","insects","insects",23.4,"juv./adults",59
"671","Symphodus melops","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",59
"672","Symphodus melops","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",59
"673","Symphodus melops","zoobenthos","benth. crust.","benth. copepods",48.8,"juv./adults",59
"674","Symphodus melops","zoobenthos","benth. crust.","crabs",NA,"juv./adults",59
"675","Symphodus melops","zoobenthos","benth. crust.","crabs",NA,"juv./adults",59
"676","Symphodus melops","zoobenthos","benth. crust.","crabs",NA,"juv./adults",59
"677","Symphodus melops","zoobenthos","benth. crust.","isopods",NA,"juv./adults",59
"678","Symphodus melops","zoobenthos","benth. crust.","isopods",NA,"juv./adults",59
"679","Symphodus melops","zoobenthos","benth. crust.","n.a./other benth. crustaceans",19,"juv./adults",59
"680","Symphodus melops","zoobenthos","benth. crust.","n.a./other benth. crustaceans",1.3,"juv./adults",59
"681","Symphodus melops","zoobenthos","benth. crust.","ostracods",34.3,"juv./adults",59
"682","Symphodus melops","zoobenthos","benth. crust.","shrimps/prawns",NA,"juv./adults",59
"683","Symphodus melops","zoobenthos","cnidarians","n.a./other polyps",3.7,"juv./adults",59
"684","Symphodus melops","zoobenthos","cnidarians","n.a./other polyps",NA,"juv./adults",59
"685","Symphodus melops","zoobenthos","echinoderms","n.a./other echinoderms",1.3,"juv./adults",59
"686","Symphodus melops","zoobenthos","mollusks","bivalves",NA,"juv./adults",59
"687","Symphodus melops","zoobenthos","mollusks","chitons",3.2,"juv./adults",59
"688","Symphodus melops","zoobenthos","mollusks","gastropods",NA,"juv./adults",59
"689","Symphodus melops","zoobenthos","mollusks","gastropods",NA,"juv./adults",59
"690","Symphodus melops","zoobenthos","mollusks","gastropods",NA,"juv./adults",59
"691","Symphodus melops","zoobenthos","mollusks","gastropods",NA,"juv./adults",59
"692","Symphodus melops","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",59
"693","Symphodus melops","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",33.5,"juv./adults",59
"694","Symphodus melops","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",59
"695","Symphodus melops","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",1.4,"juv./adults",59
"696","Symphodus melops","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",15.6,"juv./adults",59
"697","Symphodus melops","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",8.5,"juv./adults",59
"698","Symphodus melops","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",2,"juv./adults",59
"699","Symphodus melops","zoobenthos","sponges/tunicates","ascidians",1.6,"juv./adults",59
"700","Symphodus melops","zoobenthos","sponges/tunicates","sponges",0.5,"juv./adults",59
"701","Symphodus melops","zoobenthos","worms","polychaetes",25.6,"juv./adults",59
"702","Symphodus melops","zoobenthos","worms","polychaetes",NA,"juv./adults",59
"703","Symphodus melops","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",59
"704","Symphodus melops","zooplankton","fish (early stages)","fish eggs/larvae",0.8,"juv./adults",59
"705","Symphodus ocellatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",1792
"706","Symphodus ocellatus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",1792
"707","Symphodus ocellatus","zoobenthos","benth. crust.","benth. copepods",NA,"juv./adults",1792
"708","Symphodus ocellatus","zoobenthos","benth. crust.","isopods",NA,"juv./adults",1792
"709","Symphodus ocellatus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",1792
"710","Symphodus ocellatus","zoobenthos","benth. crust.","shrimps/prawns",NA,"juv./adults",1792
"711","Symphodus ocellatus","zoobenthos","echinoderms","n.a./other echinoderms",NA,"juv./adults",1792
"712","Symphodus ocellatus","zoobenthos","mollusks","gastropods",NA,"juv./adults",1792
"713","Symphodus ocellatus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",1792
"714","Symphodus ocellatus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",1792
"715","Symphodus ocellatus","zoobenthos","worms","n.a./other annelids",NA,"juv./adults",1792
"716","Symphodus ocellatus","zoobenthos","worms","polychaetes",NA,"juv./adults",1792
"717","Symphodus ocellatus","zooplankton","jellyfish/hydroids","jellyfish/hydroids",NA,"juv./adults",1792
"718","Symphodus ocellatus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",1792
"719","Symphodus ocellatus","zooplankton","fish (early stages)","fish eggs/larvae",NA,"juv./adults",1792
"720","Symphodus roissali","zoobenthos","benth. crust.","shrimps/prawns",NA,"juv./adults",1709
"721","Symphodus roissali","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",1709
"722","Symphodus roissali","zoobenthos","mollusks","bivalves",NA,"juv./adults",1709
"723","Symphodus roissali","zoobenthos","mollusks","gastropods",NA,"juv./adults",1709
"724","Symphodus roissali","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",1709
"725","Symphodus roissali","zooplankton","jellyfish/hydroids","jellyfish/hydroids",NA,"juv./adults",1709
"726","Symphodus rostratus","nekton","finfish","bony fish",NA,"juv./adults",4580
"727","Symphodus rostratus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",4580
"728","Symphodus rostratus","zoobenthos","benth. crust.","benth. copepods",NA,"juv./adults",4580
"729","Symphodus rostratus","zoobenthos","benth. crust.","isopods",NA,"juv./adults",4580
"730","Symphodus rostratus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",4580
"731","Symphodus rostratus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",4580
"732","Symphodus rostratus","zoobenthos","echinoderms","n.a./other echinoderms",NA,"juv./adults",4580
"733","Symphodus rostratus","zoobenthos","mollusks","gastropods",NA,"juv./adults",4580
"734","Symphodus rostratus","zooplankton","plank. crust.","mysids",NA,"juv./adults",4580
"735","Symphodus tinca","plants","other plants","benthic algae/weeds",NA,"juv./adults",1708
"736","Symphodus tinca","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",1708
"737","Symphodus tinca","zoobenthos","benth. crust.","crabs",NA,"juv./adults",1708
"738","Symphodus tinca","zoobenthos","benth. crust.","isopods",NA,"juv./adults",1708
"739","Symphodus tinca","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",1708
"740","Symphodus tinca","zoobenthos","benth. crust.","shrimps/prawns",NA,"juv./adults",1708
"741","Symphodus tinca","zoobenthos","echinoderms","n.a./other echinoderms",NA,"juv./adults",1708
"742","Symphodus tinca","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",1708
"743","Symphodus tinca","zoobenthos","mollusks","bivalves",NA,"juv./adults",1708
"744","Symphodus tinca","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",1708
"745","Symphodus tinca","zoobenthos","worms","polychaetes",NA,"juv./adults",1708
"746","Tautoga onitis","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"adults",458
"747","Tautoga onitis","zoobenthos","mollusks","bivalves",NA,"adults",458
"748","Tautoga onitis","zoobenthos","mollusks","gastropods",NA,"adults",458
"749","Tautogolabrus adspersus","zoobenthos","benth. crust.","lobsters",NA,"juv./adults",3672
"750","Tautogolabrus adspersus","zoobenthos","mollusks","bivalves",NA,"juv./adults",3672
"751","Tautogolabrus adspersus","zooplankton","plank. crust.","cladocerans",NA,"juv./adults",3672
"752","Tautogolabrus adspersus","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",3672
"753","Tautogolabrus adspersus","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",3672
"754","Thalassoma amblycephalum","zooplankton","plank. crust.","n.a./other plank. crustaceans",NA,"juv./adults",5642
"755","Thalassoma ballieui","detritus","detritus","carcasses",NA,"juv./adults",7771
"756","Thalassoma ballieui","nekton","finfish","bony fish",NA,"juv./adults",7771
"757","Thalassoma ballieui","nekton","finfish","bony fish",NA,"juv./adults",7771
"758","Thalassoma ballieui","nekton","finfish","bony fish",NA,"juv./adults",7771
"759","Thalassoma ballieui","zoobenthos","benth. crust.","crabs",NA,"juv./adults",7771
"760","Thalassoma ballieui","zoobenthos","benth. crust.","lobsters",NA,"juv./adults",7771
"761","Thalassoma ballieui","zoobenthos","echinoderms","n.a./other echinoderms",NA,"juv./adults",7771
"762","Thalassoma ballieui","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",7771
"763","Thalassoma ballieui","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",7771
"764","Thalassoma ballieui","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",7771
"765","Thalassoma ballieui","zoobenthos","mollusks","bivalves",NA,"juv./adults",7771
"766","Thalassoma ballieui","zoobenthos","mollusks","gastropods",NA,"juv./adults",7771
"767","Thalassoma bifasciatum","nekton","finfish","bony fish",NA,"juv./adults",3673
"768","Thalassoma bifasciatum","zoobenthos","benth. crust.","isopods",NA,"juv./adults",3673
"769","Thalassoma bifasciatum","zoobenthos","benth. crust.","crabs",NA,"juv./adults",3673
"770","Thalassoma bifasciatum","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",3673
"771","Thalassoma bifasciatum","zoobenthos","benth. crust.","shrimps/prawns",NA,"juv./adults",3673
"772","Thalassoma bifasciatum","zoobenthos","benth. crust.","stomatopods",NA,"juv./adults",3673
"773","Thalassoma bifasciatum","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",3673
"774","Thalassoma bifasciatum","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",3673
"775","Thalassoma bifasciatum","zoobenthos","mollusks","gastropods",NA,"juv./adults",3673
"776","Thalassoma bifasciatum","zoobenthos","mollusks","n.a./other cephalopods",NA,"juv./adults",3673
"777","Thalassoma bifasciatum","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",3673
"778","Thalassoma bifasciatum","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",3673
"779","Thalassoma bifasciatum","zoobenthos","worms","polychaetes",NA,"juv./adults",3673
"780","Thalassoma bifasciatum","zoobenthos","worms","polychaetes",NA,"juv./adults",3673
"781","Thalassoma bifasciatum","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",3673
"782","Thalassoma bifasciatum","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",3673
"783","Thalassoma bifasciatum","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",3673
"784","Thalassoma bifasciatum","zooplankton","plank. crust.","n.a./other plank. crustaceans",NA,"juv./adults",3673
"785","Thalassoma cupido","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",6587
"786","Thalassoma duperrey","nekton","finfish","n.a./other finfish",9.5,"juv./adults",7770
"787","Thalassoma duperrey","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",7770
"788","Thalassoma duperrey","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",7770
"789","Thalassoma genivittatum","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",25809
"790","Thalassoma grammaticum","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",13822
"791","Thalassoma hardwicke","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",5643
"792","Thalassoma hebraicum","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",8019
"793","Thalassoma jansenii","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",5644
"794","Thalassoma lucasanum","zoobenthos","other benth. invertebrates","n.a./other benth. Invertebrates",NA,"juv./adults",13860
"795","Thalassoma lucasanum","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",13860
"796","Thalassoma lunare","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",5645
"797","Thalassoma pavo","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",2500
"798","Thalassoma pavo","zoobenthos","other benth. invertebrates","n.a./other benth. Invertebrates",NA,"juv./adults",2500
"799","Thalassoma purpureum","nekton","finfish","bony fish",NA,"juv./adults",5647
"800","Thalassoma purpureum","zoobenthos","benth. crust.","crabs",NA,"juv./adults",5647
"801","Thalassoma purpureum","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",5647
"802","Thalassoma purpureum","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",5647
"803","Thalassoma quinquevittatum","nekton","finfish","bony fish",NA,"juv./adults",5648
"804","Thalassoma quinquevittatum","zoobenthos","benth. crust.","crabs",NA,"juv./adults",5648
"805","Thalassoma quinquevittatum","zoobenthos","benth. crust.","shrimps/prawns",NA,"juv./adults",5648
"806","Thalassoma quinquevittatum","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",5648
"807","Thalassoma quinquevittatum","zoobenthos","mollusks","gastropods",NA,"juv./adults",5648
"808","Thalassoma rueppellii","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",25787
"809","Thalassoma trilobatum","nekton","finfish","n.a./other finfish",100,"juv./adults",5649
"810","Thalassoma trilobatum","zoobenthos","benth. crust.","crabs",NA,"juv./adults",5649
"811","Thalassoma trilobatum","zoobenthos","echinoderms","n.a./other echinoderms",NA,"juv./adults",5649
"812","Thalassoma trilobatum","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",5649
"813","Wetmorella nigropinnata","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",4870
"814","Xyrichtys martinicensis","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",3668
"815","Xyrichtys novacula","nekton","finfish","bony fish",0.75,"juv./adults",4581
"816","Xyrichtys novacula","nekton","finfish","bony fish",0.75,"juv./adults",4581
"817","Xyrichtys novacula","zoobenthos","benth. crust.","amphipods",14.3,"juv./adults",4581
"818","Xyrichtys novacula","zoobenthos","benth. crust.","crabs",5.98,"juv./adults",4581
"819","Xyrichtys novacula","zoobenthos","benth. crust.","isopods",6.77,"juv./adults",4581
"820","Xyrichtys novacula","zoobenthos","benth. crust.","n.a./other benth. crustaceans",3.76,"juv./adults",4581
"821","Xyrichtys novacula","zoobenthos","benth. crust.","n.a./other benth. crustaceans",1.5,"juv./adults",4581
"822","Xyrichtys novacula","zoobenthos","benth. crust.","n.a./other benth. crustaceans",9.16,"juv./adults",4581
"823","Xyrichtys novacula","zoobenthos","benth. crust.","n.a./other benth. crustaceans",26.32,"juv./adults",4581
"824","Xyrichtys novacula","zoobenthos","benth. crust.","shrimps/prawns",1.5,"juv./adults",4581
"825","Xyrichtys novacula","zoobenthos","echinoderms","sea urchins",60.15,"juv./adults",4581
"826","Xyrichtys novacula","zoobenthos","mollusks","bivalves",55.64,"juv./adults",4581
"827","Xyrichtys novacula","zoobenthos","mollusks","bivalves",1.5,"juv./adults",4581
"828","Xyrichtys novacula","zoobenthos","mollusks","bivalves",15.04,"juv./adults",4581
"829","Xyrichtys novacula","zoobenthos","mollusks","bivalves",34.6,"juv./adults",4581
"830","Xyrichtys novacula","zoobenthos","mollusks","bivalves",1.5,"juv./adults",4581
"831","Xyrichtys novacula","zoobenthos","mollusks","bivalves",10.53,"juv./adults",4581
"832","Xyrichtys novacula","zoobenthos","mollusks","gastropods",12.8,"juv./adults",4581
"833","Xyrichtys novacula","zoobenthos","mollusks","gastropods",0.75,"juv./adults",4581
"834","Xyrichtys novacula","zoobenthos","mollusks","gastropods",0.75,"juv./adults",4581
"835","Xyrichtys novacula","zoobenthos","mollusks","gastropods",2.26,"juv./adults",4581
"836","Xyrichtys novacula","zooplankton","plank. crust.","mysids",2.26,"juv./adults",4581
"837","Xyrichtys novacula","zooplankton","plank. crust.","mysids",28.57,"juv./adults",4581
"838","Bolbometopon muricatum","plants","other plants","benthic algae/weeds",NA,"juv./adults",5537
"839","Bolbometopon muricatum","plants","other plants","benthic algae/weeds",NA,"juv./adults",5537
"840","Bolbometopon muricatum","zoobenthos","cnidarians","n.a./other polyps",NA,"juv./adults",5537
"841","Calotomus carolinus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4355
"842","Calotomus spinidens","detritus","detritus","debris",NA,"recruits/juv.",4357
"843","Calotomus spinidens","plants","other plants","benthic algae/weeds",NA,"juv./adults",4357
"844","Calotomus spinidens","plants","other plants","benthic algae/weeds",NA,"juv./adults",4357
"845","Calotomus spinidens","plants","other plants","periphyton",NA,"juv./adults",4357
"846","Calotomus viridescens","plants","other plants","benthic algae/weeds",NA,"juv./adults",4358
"847","Calotomus viridescens","plants","other plants","periphyton",NA,"juv./adults",4358
"848","Cetoscarus bicolor","plants","other plants","benthic algae/weeds",NA,"juv./adults",5538
"849","Chlorurus atrilunula","plants","other plants","benthic algae/weeds",NA,"juv./adults",7907
"850","Chlorurus bleekeri","plants","other plants","benthic algae/weeds",NA,"juv./adults",4976
"851","Chlorurus bowersi","plants","other plants","benthic algae/weeds",NA,"juv./adults",5542
"852","Chlorurus bowersi","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",5542
"853","Chlorurus enneacanthus","plants","other plants","benthic algae/weeds",NA,"juv./adults",7910
"854","Chlorurus frontalis","plants","other plants","benthic algae/weeds",NA,"juv./adults",5547
"855","Chlorurus genazonatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",14382
"856","Chlorurus gibbus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4979
"857","Chlorurus japanensis","plants","other plants","benthic algae/weeds",NA,"juv./adults",4978
"858","Chlorurus japanensis","plants","other plants","benthic algae/weeds",NA,"juv./adults",4978
"859","Chlorurus oedema","plants","other plants","benthic algae/weeds",NA,"juv./adults",8394
"860","Chlorurus sordidus","detritus","detritus","debris",NA,"adults",5556
"861","Chlorurus sordidus","plants","other plants","benthic algae/weeds",NA,"recruits/juv.",5556
"862","Chlorurus sordidus","plants","other plants","benthic algae/weeds",NA,"juv./adults",5556
"863","Chlorurus sordidus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"recruits/juv.",5556
"864","Chlorurus sordidus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"recruits/juv.",5556
