"","sciname","SpecCode","IUCN_Code","Resilience","BodyShapeI","DemersPelag","DepthRangeShallow","DepthRangeDeep","LongevityWild","Vulnerability","Length","CommonLength","Weight","Importance","PriceCateg","PriceReliability","Aquarium","AquariumFishII","Comments"
"337","Labroides rubrolabiatus",23530,"LC","High","fusiform / normal","reef-associated",1,32,NA,15.77,9,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial",NA,"Inhabits lagoon and seaward reefs up to a depth of at least 32 m (Ref. 9710). Feeds on small small parasites and damaged tissues of other fish (Ref. 89972)."
"338","Labropsis alleni",4863,"LC","High","fusiform / normal","reef-associated",4,52,NA,18.38,10,NA,NA,"of no interest",NA,NA,"commercial","based mainly on capture","Occurs in lagoon and seaward reefs, in areas with dense coral growth (Ref. 9710) and on steep slopes, solitary or in pairs (Ref. 90102).  Probably feeds on coral polyps (Ref. 6023).  Juveniles clean other fishes."
"339","Labropsis australis",4868,"LC","High","fusiform / normal","reef-associated",2,55,NA,19.5,10.5,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Inhabits shallow reef areas with high coral cover (Ref. 9823).  Adults feed on coral polyps while juveniles take ectoparasites and possibly mucus of  other reef fishes (Ref. 9823)."
"340","Labropsis manabei",4866,"LC","High","fusiform / normal","reef-associated",5,30,NA,22.58,10,7,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial",NA,"Occurs solitary or in small groups (Ref. 90102) in rich coral reefs in clear coastal to outer reef habitats.  Adults feed on coral polyps but may also clean (Ref. 48636).  Minimum depth range from Ref. 27115."
"341","Labropsis micronesica",4867,"LC","High","fusiform / normal","reef-associated",7,33,NA,21.88,12,9,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Occurs in clear lagoon and seaward reefs at depths of 7 to over 33 m.  Juveniles usually associate with ramose <i>Acropora</i> corals to gain protection from the branches.  The species engage in cleaning activities usually with small fishes such as damselfishes."
"342","Labropsis polynesica",4864,"LC","High","fusiform / normal","reef-associated",NA,27,NA,17.15,7.9,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Feeds on coral polyps (Ref. 89972)."
"343","Labropsis xanthonota",4865,"LC","High","fusiform / normal","reef-associated",7,55,NA,23.16,13,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Uncommon inhabitant of coral-rich areas of clear outer lagoon and seaward reefs (Ref. 1602).  May form small groups (Ref. 90102).  Males generally solitary (Ref. 9710).  Juveniles are cleaners while adults feed on coral polyps (Ref. 1602)."
"344","Labrus bergylta",572,"LC","Low","fusiform / normal","reef-associated",1,50,29,66.55,65.9,50,4350,"subsistence fisheries","high","Reliable: based on ex-vessel price for this species","commercial","based mainly on capture","Adults are found in littoral (10-20 m) zone around rocks, offshore reefs, and seaweed.  Young often in intertidal areas.  All are born females and change sex when they are 4-14 years old (Ref. 35388).  One (or more) female spawns in nest of algae, built by male in a crevice.  Feed on crustaceans and mollusks (Ref. 4742).  Oviparous (Ref. 205)."
"345","Labrus merula",4582,"LC","Medium","fusiform / normal","reef-associated",NA,NA,17,44.23,45,40,NA,"subsistence fisheries","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults are found around rocks and seaweeds.  Sometime schooling, more solitary when older.  Feed on sea urchins, ophiuroids, mollusks, crabs and worms.  They reach maturity when 2 years old (15-20 cm).  Spawn during February to May in western Mediterranean (Ref. 4742).  Oviparous, distinct pairing during breeding (Ref. 205).  Males build dish shaped nests and guard the eggs (Ref. 205)."
"346","Labrus mixtus",1375,"LC","Low","fusiform / normal","reef-associated",2,200,20,66.58,40,30,NA,"subsistence fisheries","very high","Very questionable: based on ex-vessel price for species in this family","public aquariums","based mainly on capture","Adults are found in the  algal zone of rocky shores (Ref. 35388).  Usually solitary or in pairs with young.  Females lay about 1,000 eggs in a nest of algae; the nest is guarded by the male (Ref. 35388).  Feed mainly on crustaceans but also fishes and mollusks (Ref. 4742) and worms (Ref. 35388).  Oviparous (Ref. 205)."
"347","Labrus viridis",51659,"VU","Low","fusiform / normal","reef-associated",NA,NA,NA,34.31,47,37.5,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Adults are found in littoral zone, near rocks and eel-grass beds (Ref. 3666).  Oviparous, distinct pairing during breeding (Ref. 205).  Males build dish shaped nests and guard the eggs (Ref. 205)."
"348","Lachnolaimus maximus",1071,"VU","Medium","short and / or deep","reef-associated",3,30,23,67.1,91,35,11000,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","A large and economically valuable species, monandric and a protogynous hermaphrodite (Ref. 93709).  Adults are found over open bottoms or coral reef areas (Ref. 5217).  Often encountered  where gorgonians are abundant (Ref. 13442).  Feed mainly on mollusks, also crabs and sea urchins (Ref. 3726).  Flesh highly esteemed; marketed fresh and frozen (Ref. 3726).  Have been reared in captivity (Ref. 35420)."
"349","Lappanella fasciata",22513,"LC","High",NA,"reef-associated",35,200,NA,29.45,15,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely","","Found in deep rocky areas.  Feed on crabs, gastropods and polychaetes (Ref. 4742)."
"350","Lappanella guineensis",22517,"DD","High",NA,"reef-associated",100,100,NA,25.41,11.78,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found in rocky areas (Ref. 5292).  Minimum depth from Ref. 58018."
"351","Larabicus quadrilineatus",25788,"DD","High","fusiform / normal","reef-associated",0,15,NA,21.25,11.5,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs in fringing reefs, among coral heads and in areas with dense coral growth (Ref. 9710).  Adults feed on coral polyps while juveniles act as cleaners of other fishes."
"352","Leptojulis chrysotaenia",26276,"LC","High","fusiform / normal","reef-associated",4,30,NA,20.43,11,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs near substratum, over open bottoms of silty sand and coral rubble (Ref. 12420).  Juveniles in small groups.  Adults only seen solitary."
"353","Leptojulis cyanopleura",10576,"LC","High","fusiform / normal","reef-associated",4,75,NA,23.16,13,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found in clear coastal slopes to outer reef lagoons on open rubble patches or rocky bottom (Ref. 48636).  Occurs in groups (mostly females) on or near reefs, usually  where the water is somewhat turbid and rich in plankton.  Fish in the initial phase are much more abundant than the terminal males.  Feeds on zooplankton at least a meter above the substrate."
"354","Leptojulis lambdastigma",26286,"DD","High","fusiform / normal","demersal",60,91,NA,27.68,13.65,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"355","Leptojulis polylepis",26289,"LC","High","fusiform / normal","demersal",20,46,NA,18.38,10,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found solitary or in small groups (Ref. 90102) on coastal slopes with sparse reef formation, inhabiting the open areas (Ref. 48636); also on silty sand or mud bottoms.  Feeds on benthic crustaceans (other stomach contents were polychaete remains and fish scales) (Ref. 12420)."
"356","Leptojulis urostigma",26288,"LC","High",NA,"demersal",7,100,NA,20.43,11,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs solitary or in small groups (Ref. 90102) on muddy bottoms, often deep in front of river mouths where land debris is scattered over the bottom; sometimes takes refuge in the mud burrows of other animals.  Adults were all seen in about 30 m and usually swim fast near the bottom (Ref. 48636).  Feeds on benthic animals (polychaete worms, crustaceans, also small fish) (Ref. 12420).  Minimum depth of 7 m from Ref. 90102."
"357","Leptoscarus vaigiensis",4360,"LC","High","fusiform / normal","reef-associated",NA,10,NA,26.02,35,NA,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found in sheltered bays, harbors and lagoons (Ref. 48636).  Inhabits seagrass areas or areas with hard substrates heavy with algal cover.  Usually occur in small groups.  Unlike other parrotfishes, males and females look very similar and do not change sex (Ref. 48636).  Feeds on seagrasses and algae (Ref. 30573).  Marketed fresh (Ref. 5284)."
"358","Macropharyngodon bipartitus",7801,"LC","High","fusiform / normal","reef-associated",NA,30,NA,23.16,13,NA,NA,"of no interest",NA,NA,"commercial","based mainly on capture","Inhabits lagoon and sheltered seaward reefs (Ref. 9710).  Occurs singly or in pairs; females often found in small groups (Ref. 9710).  Feeds on invertebrates by picking items from the substratum.  Burrows in the sand at the sign of danger (Ref. 5503)."
"359","Macropharyngodon choati",13138,"LC","High","fusiform / normal","reef-associated",0,NA,NA,16.55,7.6,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial",NA,"Found in channels and seaward reefs (Ref. 9710)."
"360","Macropharyngodon cyanoguttatus",13136,"LC","High","fusiform / normal","reef-associated",10,40,NA,21.25,11.5,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"361","Macropharyngodon geoffroy",7767,"LC","High","fusiform / normal","reef-associated",6,32,NA,24.47,15,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found in mixed sand, rubble, and coral areas of seaward reefs (Ref. 9710).  Benthopelagic (Ref. 58302).  Feeds mainly on mollusks (prosobranch gastropods) and foraminiferans (Ref.3921)."
"362","Macropharyngodon kuiteri",13141,"LC","High","fusiform / normal","reef-associated",5,55,NA,18.38,10,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial",NA,"Occurs inshore (Ref. 75154).  Found in areas of mixed sand, rubble, and algae (Ref. 9710)."
"363","Macropharyngodon marisrubri",13137,"N.E.","High","short and / or deep","reef-associated",4,16,NA,21.72,9.48,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA
"364","Macropharyngodon meleagris",4984,"LC","High","fusiform / normal","reef-associated",0,30,NA,29.45,15,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits subtidal reef flats and outer lagoon and seaward reefs (Ref. 1602).  Usually in areas with mixed sand, rubble, and coral (Ref. 9710).  Feeds mainly on gastropods, other hard-shelled prey (Ref. 9823), and foraminiferans (Ref. 37816).  Rarely marketed.  Minimum depth reported from Ref. 27115."
"365","Macropharyngodon moyeri",23534,"LC","High","fusiform / normal","demersal",7,17,NA,21.88,12,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Lives around boulders on sandy bottom with heavy growth of algae."
"366","Macropharyngodon negrosensis",4985,"LC","High","fusiform / normal","reef-associated",8,32,NA,21.88,12,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits lagoon and seaward reefs, in areas of mixed sand and coral (Ref. 9710).  Post pelagic juveniles carried by currents beyond their normal breeding range.  They are often in pairs or small loose groups, swimming close to the bottom.  When approached, they move up and down in an unusual way that may worry a possible predator.  Adults move about in small groups.  (Ref. 48636)."
"367","Macropharyngodon ornatus",12724,"LC","High","fusiform / normal","reef-associated",2,30,NA,23.16,13,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits lagoon and sheltered seaward reefs, in areas with mixed sand, rubble, and coral to at least 30 m.  Occurs singly or in small groups (Ref. 9710)."
"368","Macropharyngodon pakoko",67486,"N.E.","High","fusiform / normal","reef-associated",0,42,NA,15.39,7.2,NA,NA,NA,NA,NA,"never/rarely",NA,"Collected by hand nets and rotenone (Ref. 97238)."
"369","Macropharyngodon vivienae",13140,"LC","High","fusiform / normal","reef-associated",NA,NA,NA,20.43,11,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA
"370","Malapterus reticulatus",56305,"DD","Medium",NA,"benthopelagic",NA,NA,NA,37.34,NA,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"The species is known to be cleaners of <i>Scorpis</i> individuals, feeding of buccal isopod ectoparasites (Ref. 89357)."
"371","Minilabrus striatus",25781,"LC","High",NA,"reef-associated",NA,12,NA,11.03,6,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found in aggregations above outer reef slopes.  Feeds on zooplankton."
"372","Neoodax balteatus",12835,"LC","High",NA,"demersal",1,22,NA,14.21,14,NA,NA,"of no interest","unknown",NA,"commercial","based mainly on capture","Found mainly in estuaries and sheltered inshore waters at depths usually less than 15 m; also found in grass beds and common around shallow rocky reefs."
"373","Nicholsina denticulata",13980,"LC","High",NA,"reef-associated",1,11,NA,24.89,32,20,NA,"minor commercial","high","Very questionable: based on ex-vessel price for species in this family","never/rarely","","Abundant in shallow coastal areas, especially in rocky coasts with macroalgae.  May be solitary or swim in loose schools (Ref. 5227).  Feeds by scraping or breaking off chunks of the reef and digest the algae that grows within, or they feed directly on algae (Ref. 28023)."
"374","Nicholsina usta collettei",22538,"LC","High",NA,"demersal",20,50,NA,24.61,24,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs in coastal waters, on seagrass and algal bottoms (Ref. 7360)."
"375","Nicholsina usta usta",1151,"LC","High","fusiform / normal","reef-associated",1,73,NA,25.28,30,18,NA,"subsistence fisheries","high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits seagrass beds and open bottom, mostly in shallow water.  Larger adults live in deeper water."
"376","Notolabrus celidotus",46850,"LC","Medium","fusiform / normal","reef-associated",22,145,7,30.9,23.9,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits shallow water, but may reach to depths of 145 m (Ref. 26203).  Feeds on small benthic organisms.  Uses its forward-jutting front teeth to rake food from the substrate (Ref. 26966)."
"377","Notolabrus cinctus",46873,"LC","Medium",NA,"demersal",40,91,NA,44.09,29.9,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Feeds on mollusks and small crustaceans (Ref. 26203). Recorded at depth of 15 m (Ref. 58932)."
"378","Notolabrus fucicola",14422,"LC","Low","fusiform / normal","reef-associated",NA,NA,NA,51.76,38,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found on rocky reefs (Ref. 9563).  Is a selective forager which prefers to feed on small, hard-shelled animals like crabs and gastropods (Ref. 26966)."
"379","Notolabrus gymnogenis",46838,"LC","Medium",NA,"reef-associated",5,40,NA,38.25,23,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"A common coastal reef fish collected from 15 m but may occur much deeper than this (Ref. 26203)."
"380","Notolabrus inscriptus",12794,"LC","Low","fusiform / normal","reef-associated",NA,NA,NA,59.51,50,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Occurs in shallow rocky reef areas and associated with kelp (<i>Ecklonia</i>) beds.  Collected at depths of 17 m (Ref.26203)."
"381","Notolabrus parilus",46823,"LC","Medium","fusiform / normal","reef-associated",NA,NA,NA,54.75,NA,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits rock reef (Ref. 75154)."
"382","Notolabrus tetricus",14426,"LC","Low",NA,"reef-associated",NA,50,NA,53.18,50,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found on rocky reefs (Ref. 9563)."
"383","Novaculichthys taeniourus",5610,"LC","Medium","fusiform / normal","reef-associated",3,25,NA,34.51,30,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabit semi-exposed reef flats and lagoon and seaward reefs (Ref. 1602).  Common in areas of mixed sand, and rubble that are subject to mild surge (Ref. 1602, 58466).  Benthopelagic (Ref. 58302).  Juveniles shallow on rubble amongst large bommies or protected open patches on reef crests and swim as if were a leaf floating along the bottom; large adults move along over large reef section, usually in pairs and typically turn or shift large pieces of rubble or debris that they grab and pull with their mouth or push over with their snout.  Often, while one works the piece, the other grabs exposed prey.  They are sometimes called rock-mover wrasse, but they don't move real rocks (Ref. 48636).  Highly territorial (Ref. 9823).  Feed on mollusks, sea urchins, brittle stars, polychaetes, and crabs (Ref. 5213); feeding is done by overturning large rocks to expose target preys.  The young imitate drifting masses of algae (Ref. 2334).  Marketed fresh (Ref. 9311).  Minimum depth reported from Ref. 30874."
"384","Novaculoides macrolepidotus",5609,"LC","High","fusiform / normal","reef-associated",0,10,NA,25.07,16,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found solitary or in small groups (Ref. 90102) in seagrass beds and sandy algal flats of lagoons and mangrove channels.  Secretive amongst the vegetation and well-camouflaged (Ref. 48636, 58466)."
"385","Novaculops alvheimi",66986,"N.E.","High","fusiform / normal","reef-associated",58,60,NA,22.08,9.6,NA,NA,"",NA,NA,"never/rarely","",NA
"386","Novaculops halsteadi",66092,"LC","High",NA,"reef-associated",15,55,NA,25.64,12.02,NA,NA,NA,NA,NA,"never/rarely",NA,"Found solitary or in small groups near reefs in sand-rubble bottoms (Ref. 90102). Feeds on small benthic invertebrates (Ref. 89972)."
"387","Novaculops koteamea",62946,"DD","High",NA,"pelagic-neritic",50,250,NA,25.12,25.9,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"388","Novaculops pastellus",64285,"LC","High",NA,"reef-associated",10,25,NA,25.41,11.7,NA,NA,NA,NA,NA,NA,NA,NA
"389","Novaculops sciistius",66098,"DD","High",NA,"benthopelagic",NA,NA,NA,13.79,6.2,NA,NA,NA,NA,NA,"never/rarely",NA,NA
"390","Novaculops woodi",23516,"LC","Medium","fusiform / normal","benthopelagic",48,48,NA,34.15,19.3,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"391","Odax cyanoallix",12838,"LC","High",NA,"demersal",16,16,NA,27.69,27,NA,NA,"minor commercial","unknown",NA,NA,NA,"Common along the 25 km coastline of  the Three Kings Island group."
"392","Odax pullus",12840,"LC","Low","fusiform / normal","demersal",NA,NA,11,26.99,40,NA,1500,"minor commercial","unknown",NA,NA,NA,"Inhabits shallow inshore waters where  rocks and brown algae are abundant.  Browses on algae and feeds mainly on the brown alga <i>Carpophyllum</i> (Ref. 26966)."
"393","Olisthops cyanomelas",12839,"LC","Medium",NA,"pelagic-neritic",1,15,NA,34.4,35,NA,NA,"of no interest","unknown",NA,"commercial","based mainly on capture","Occurs near the surface in high energy surf zones along rocky shores, these areas are often dominated by brown macroalgae."
"394","Ophthalmolepis lineolata",56982,"LC","Medium",NA,"benthopelagic",60,NA,NA,43,40,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found in coastal bays to offshore reefs, often in loose aggregations (Ref. 9002)."
"395","Oxycheilinus arenatus",5595,"LC","Medium","fusiform / normal","reef-associated",25,60,NA,29.43,21,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found solitary (Ref. 90102) in caves of steep outer reef drop-offs from 25 to at least 46 m (Ref. 1602) with rich invertebrate growth such as large gorgonians or soft corals (Ref. 48636).  Feeds mainly on fishes, shrimps and other crustaceans (Ref. 9823)."
"396","Oxycheilinus bimaculatus",5596,"LC","High","fusiform / normal","reef-associated",2,110,NA,24.47,15,NA,NA,"subsistence fisheries","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits outer reef slopes or deep clear lagoons among rubble or clumps of algae; also in seagrass beds (Ref. 1602, 41878, 58302).  Often in sheltered estuaries and harbors (Ref. 48636).  Benthic and benthopelagic (Ref. 58302)."
"397","Oxycheilinus celebicus",5597,"LC","Medium","fusiform / normal","reef-associated",3,40,NA,31.55,24,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits coral-rich areas of protected reefs (Ref. 9710), with a rich mix of soft and brittle hard corals and other invertebrates (Ref. 48636).  Reported to be associated with the mushroom <i>Heliofungia actiniformis</i> (Ref. 91291). Oviparous, distinct pairing during breeding (Ref. 205)."
"398","Oxycheilinus digramma",5599,"LC","Medium","fusiform / normal","reef-associated",3,60,NA,52.24,40,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found solitary (Ref. 90102) in lagoon and sheltered seaward reefs in coral rich areas (Ref. 1602, 58652).  Possibly to 120 m depths.  Young is more inshore on sheltered reef crests or slopes, usually amongst soft corals or stinging hydrozoans (Ref. 48635).  Feeds on hard-shelled mollusks, crustaceans, and sea urchins (Ref. 27550).  The species is observed to swim with a group of goatfish and change its color to resemble these fish, it then darts out from the group to catch small fish (Ref. 2334).  This species curiously approaches divers closely (Ref. 90102)."
"399","Oxycheilinus lineatus",63450,"LC","Medium","fusiform / normal","reef-associated",49,85,NA,30.68,15.95,NA,NA,NA,NA,NA,"never/rarely",NA,"Occurs on deep reefs (Ref. 56651). Feeds on crustaceans and fishes (Ref. 89972)."
"400","Oxycheilinus mentalis",12779,"LC","Medium","fusiform / normal","reef-associated",1,20,NA,28.88,20,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"A solitary species that inhabits fringing reefs near coral heads (Ref. 9710)."
"401","Oxycheilinus nigromarginatus",62614,"DD","High","fusiform / normal","reef-associated",10,27,NA,24.73,11.34,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Collected in protected waters of lagoons or harbors on mixed sand and coral-reef habitats (Ref. 56651)."
"402","Oxycheilinus orientalis",5601,"LC","Medium","fusiform / normal","reef-associated",10,80,NA,28.88,20,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found in coastal to outer reef habitats; juveniles often in crinoids or soft corals at moderate depths (Ref. 48636).  Probably occurring deeper than normal diving depths (Ref. 35918).  Reported to be associated with the mushroom <i>Heliofungia actiniformis</i> (Ref. 91291).  Occurs among dense cover of coral rubble or algae.  Feeds mainly on fishes, shrimps and other crustaceans.  Known in outer reef lagoons to deep slopes with other invertebrates (Ref. 9002).  Females swim in small groups (Ref. 48636).  Minimum depth reported from Ref. 90102."
"403","Oxycheilinus unifasciatus",5605,"LC","Medium","fusiform / normal","reef-associated",1,160,NA,44,46,NA,1400,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Usually solitary in coral rich areas of clear lagoon and seaward reefs.  Hovers well above the bottom (Ref. 9710, 48636).  Young secretive in soft corals and hydrozoans (Ref. 48636).  Benthopelagic (Ref. 58302).  Feeds mainly on fishes, shrimps and other crustaceans (Ref. 9823).  May be ciguatoxic (Ref. 37816)."
"404","Oxyjulis californica",3670,"LC","Medium",NA,"demersal",NA,NA,4,18.98,25,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Live in kelp and other seaweeds and over rocks.  Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
"405","Paracheilinus angulatus",4845,"LC","High","fusiform / normal","reef-associated",10,40,NA,13.79,7.5,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Biology unknown (Ref. 9710). Inhabits coastal and offshore reefs, rubble areas and low-profile coral patches (Ref. 90102).  Found in sheltered reefs with rich coral and algae mix along upper parts of slopes.  Occurs in small groups of mix sexes but females outnumber males greatly (Ref. 48636).  Males attract females by flashing neon-like colors an hour before sunset (true for most <i>Paracheilinus</i> (Ref. 90102)."
"406","Paracheilinus attenuatus",59513,"LC","High","fusiform / normal","demersal",21,50,NA,13.37,5.95,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial",NA,"Found over rubble or hard bottom (Ref. 41634).  Largest size recorded is 6.58 mm SL from the aquarium trade (Ref. 41634)."
"407","Paracheilinus bellae",25765,"LC","High","fusiform / normal","reef-associated",18,31,NA,12.01,6.5,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found among dense algal beds of deep lagoons."
"408","Paracheilinus carpenteri",4843,"DD","High","fusiform / normal","reef-associated",27,45,NA,14.62,8,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found on bases of steep outer reef slopes, above coral or rubble (Ref. 9710).  Forms schools.  Maximum depth reported from Ref. 27115."
"409","Paracheilinus cyaneus",59647,"LC","High","fusiform / normal","reef-associated",6,20,NA,12.93,7,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found in sheltered reefs with mixed low corals and algae-rubble (Ref. 48636).  Occurs in small groups of mix sexes but females outnumber males greatly (Ref. 90102)."
"410","Paracheilinus filamentosus",4844,"LC","High","fusiform / normal","reef-associated",5,35,NA,29.45,15,NA,NA,"of no interest",NA,NA,"commercial","based mainly on capture","This group may consist of several different species and genetic studies are required (Ref. 90102).  Found in rubble areas in passages and outer reef slopes.  Also occurs in lagoons.  Feeds on zooplankton and other benthic invertebrates.  Occurs in small to large groups of mix sexes but females outnumber males greatly.  Some geographical variations of nuptial males that are influenced by the presence of similar species.  Males readily display to each other or to females to spawn by flashing their colors and 'racing' past with erected fins.  Hybridizes with several other species, and are most colorful where other similar species occur in the same area (Ref. 48636).  At 15 cm SL, this could well be the largest species of the genus so far (CB)."
"411","Paracheilinus flavianalis",59645,"LC","High","fusiform / normal","reef-associated",6,35,NA,15.01,8.5,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits rubble and weedy bottoms of seaward reefs (Ref. 90102).  Also found in coastal reef slopes and estuaries.  Occurs in small groups with numerous females, juveniles and several males, often covering a large section of reef.  Juveniles are secretive when small and form small groups at later stages (Ref. 48636)."
"412","Paracheilinus hemitaeniatus",4846,"LC","High","fusiform / normal","reef-associated",NA,42,NA,15.53,NA,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial",NA,"Found in the outer reef slope of barrier reefs."
"413","Paracheilinus lineopunctatus",4841,"LC","High","fusiform / normal","reef-associated",12,40,NA,12.93,7,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found on bases of steep outer reef slopes, above rubble or coral (Ref. 9710).  Found on rubble bottoms that are exposed to strong currents occasionally  (Ref. 90102).  Occurs in small groups (Ref. 2139) of mix sexes but females outnumber males (Ref. 90102)."
"414","Paracheilinus mccoskeri",4842,"LC","High","fusiform / normal","reef-associated",5,50,NA,14.62,8,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial",NA,"Inhabits outer reef slopes, over rubble, algae, or coral (Ref. 9710). Occurs in small groups of mix sexes but females outnumber males greatly (Ref. 48636).  Swim close to the bottom and females swim in small groups.  Males swim around them and often hurry from one area to another where there are groups of females.  Some juveniles are secretive and often single or small groups amongst the rubble (Ref. 48636)."
"415","Paracheilinus nursalim",63704,"LC","High","fusiform / normal","reef-associated",5,50,NA,11.53,5.1,NA,NA,NA,NA,NA,"never/rarely",NA,"Inhabits semi-sheltered areas, exposed to periodic strong currents; invariably associated with gradual rubble slopes at depths ranging from about 5-50 m or more, but most abundant between about 20 and 35 m. Large aggregations, of about 30 males and several hundred females, were occasionally encountered in only 6 to 10 m at Triton Bay (Ref. 74967)."
