"","sciname","FoodI","FoodII","FoodIII","Commoness","PredatorStage","SpecCode"
"567","Pomacentrus nagasakiensis","plants","other plants","benthic algae/weeds",19,"juv./adults",5716
"568","Pomacentrus nagasakiensis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",5716
"569","Pomacentrus nigromanus","plants","other plants","benthic algae/weeds",NA,"juv./adults",5725
"570","Pomacentrus nigromanus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",5725
"571","Pomacentrus nigromanus","zooplankton","fish (early stages)","fish eggs/larvae",NA,"juv./adults",5725
"572","Pomacentrus nigromanus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",5725
"573","Pomacentrus nigromanus","zooplankton","plank. crust.","n.a./other plank. crustaceans",NA,"juv./adults",5725
"574","Pomacentrus nigromarginatus","plants","other plants","benthic algae/weeds",65,"juv./adults",6621
"575","Pomacentrus nigromarginatus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",6621
"576","Pomacentrus pavo","plants","other plants","benthic algae/weeds",100,"juv./adults",5726
"577","Pomacentrus pavo","zoobenthos","benth. crust.","benth. copepods",17,"juv./adults",5726
"578","Pomacentrus pavo","zooplankton","fish (early stages)","fish eggs/larvae",67,"juv./adults",5726
"579","Pomacentrus pavo","zooplankton","plank. crust.","mysids",17,"juv./adults",5726
"580","Pomacentrus pavo","zooplankton","plank. crust.","plank. copepods",100,"juv./adults",5726
"581","Pomacentrus pavo","zooplankton","plank. crust.","plank. copepods",100,"juv./adults",5726
"582","Pomacentrus pavo","zooplankton","plank. crust.","n.a./other plank. crustaceans",17,"juv./adults",5726
"583","Pomacentrus philippinus","plants","other plants","benthic algae/weeds",19,"juv./adults",5727
"584","Pomacentrus philippinus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",5727
"585","Pomacentrus pikei","plants","other plants","benthic algae/weeds",65,"juv./adults",12497
"586","Pomacentrus pikei","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",12497
"587","Pomacentrus reidi","plants","other plants","benthic algae/weeds",19,"juv./adults",5728
"588","Pomacentrus reidi","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",5728
"589","Pomacentrus simsiang","plants","other plants","benthic algae/weeds",65,"juv./adults",5729
"590","Pomacentrus simsiang","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",5729
"591","Pomacentrus smithi","plants","other plants","benthic algae/weeds",19,"juv./adults",10279
"592","Pomacentrus smithi","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",10279
"593","Pomacentrus stigma","plants","other plants","benthic algae/weeds",65,"juv./adults",12501
"594","Pomacentrus stigma","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",12501
"595","Pomacentrus taeniometopon","plants","other plants","benthic algae/weeds",NA,"juv./adults",10280
"596","Pomacentrus trichrourus","plants","other plants","benthic algae/weeds",19,"juv./adults",12504
"597","Pomacentrus trichrourus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",12504
"598","Pomacentrus trilineatus","plants","other plants","benthic algae/weeds",65,"juv./adults",12505
"599","Pomacentrus trilineatus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",12505
"600","Pomacentrus tripunctatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",8277
"601","Pomacentrus vaiuli","plants","other plants","benthic algae/weeds",100,"juv./adults",5730
"602","Pomacentrus vaiuli","zoobenthos","mollusks","gastropods",17,"juv./adults",5730
"603","Pomacentrus vaiuli","zoobenthos","sponges/tunicates","ascidians",33,"juv./adults",5730
"604","Pomacentrus vaiuli","zooplankton","fish (early stages)","fish eggs/larvae",50,"juv./adults",5730
"605","Pomacentrus vaiuli","zooplankton","plank. crust.","plank. copepods",17,"juv./adults",5730
"606","Pomacentrus vaiuli","zooplankton","plank. crust.","plank. copepods",17,"juv./adults",5730
"607","Pomacentrus vaiuli","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",17,"juv./adults",5730
"608","Pomacentrus wardi","plants","other plants","benthic algae/weeds",NA,"juv./adults",10281
"609","Pomachromis exilis","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",5731
"610","Pomachromis guamensis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",5732
"611","Premnas biaculeatus","plants","other plants","benthic algae/weeds",65,"juv./adults",6632
"612","Premnas biaculeatus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",6632
"613","Pristotis obtusirostris","nekton","finfish","bony fish",NA,"adults",8127
"614","Pristotis obtusirostris","plants","other plants","benthic algae/weeds",19,"juv./adults",8127
"615","Pristotis obtusirostris","zoobenthos","benth. crust.","shrimps/prawns",NA,"adults",8127
"616","Pristotis obtusirostris","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",8127
"617","Pristotis obtusirostris","zooplankton","fish (early stages)","fish eggs/larvae",NA,"adults",8127
"618","Stegastes acapulcoensis","plants","other plants","benthic algae/weeds",NA,"juv./adults",12509
"619","Stegastes adustus","detritus","detritus","debris",NA,"juv./adults",12416
"620","Stegastes adustus","plants","other plants","benthic algae/weeds",NA,"juv./adults",12416
"621","Stegastes albifasciatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4340
"622","Stegastes albifasciatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4340
"623","Stegastes altus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4343
"624","Stegastes arcifrons","plants","other plants","benthic algae/weeds",NA,"juv./adults",12510
"625","Stegastes arcifrons","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",12510
"626","Stegastes arcifrons","zoobenthos","cnidarians","n.a./other polyps",NA,"juv./adults",12510
"627","Stegastes arcifrons","zoobenthos","worms","polychaetes",NA,"juv./adults",12510
"628","Stegastes beebei","plants","other plants","benthic algae/weeds",NA,"juv./adults",14285
"629","Stegastes beebei","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",14285
"630","Stegastes beebei","zoobenthos","cnidarians","n.a./other polyps",NA,"juv./adults",14285
"631","Stegastes diencaeus","plants","other plants","benthic algae/weeds",NA,"juv./adults",3649
"632","Stegastes fasciolatus","detritus","detritus","debris",25,"juv./adults",4347
"633","Stegastes fasciolatus","plants","other plants","benthic algae/weeds",65,"juv./adults",4347
"634","Stegastes flavilatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",12512
"635","Stegastes fuscus","plants","other plants","benthic algae/weeds",NA,"juv./adults",3650
"636","Stegastes fuscus","plants","other plants","benthic algae/weeds",NA,"juv./adults",3650
"637","Stegastes fuscus","zoobenthos","benth. crust.","benth. copepods",NA,"juv./adults",3650
"638","Stegastes fuscus","zoobenthos","sponges/tunicates","sponges",NA,"juv./adults",3650
"639","Stegastes fuscus","zoobenthos","worms","polychaetes",NA,"juv./adults",3650
"640","Stegastes fuscus","zooplankton","fish (early stages)","fish eggs/larvae",NA,"juv./adults",3650
"641","Stegastes fuscus","zooplankton","jellyfish/hydroids","jellyfish/hydroids",NA,"juv./adults",3650
"642","Stegastes fuscus","zooplankton","jellyfish/hydroids","jellyfish/hydroids",NA,"juv./adults",3650
"643","Stegastes insularis","plants","other plants","benthic algae/weeds",NA,"juv./adults",4349
"644","Stegastes limbatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4350
"645","Stegastes nigricans","detritus","detritus","debris",NA,"juv./adults",4352
"646","Stegastes nigricans","nekton","finfish","bony fish",15.3,"adults",4352
"647","Stegastes nigricans","plants","other plants","benthic algae/weeds",100,"adults",4352
"648","Stegastes nigricans","plants","other plants","benthic algae/weeds",NA,"juv./adults",4352
"649","Stegastes nigricans","plants","other plants","benthic algae/weeds",NA,"juv./adults",4352
"650","Stegastes nigricans","plants","phytoplankton","blue-green algae",NA,"juv./adults",4352
"651","Stegastes nigricans","zoobenthos","benth. crust.","benth. copepods",37.7,"adults",4352
"652","Stegastes nigricans","zoobenthos","benth. crust.","n.a./other benth. crustaceans",28,"adults",4352
"653","Stegastes nigricans","zoobenthos","mollusks","gastropods",NA,"adults",4352
"654","Stegastes nigricans","zoobenthos","mollusks","n.a./other mollusks",18.3,"adults",4352
"655","Stegastes nigricans","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",47,"adults",4352
"656","Stegastes nigricans","zoobenthos","sponges/tunicates","ascidians",39.1,"adults",4352
"657","Stegastes nigricans","zoobenthos","sponges/tunicates","sponges",NA,"adults",4352
"658","Stegastes nigricans","zoobenthos","worms","polychaetes",29.7,"adults",4352
"659","Stegastes nigricans","zooplankton","fish (early stages)","fish eggs/larvae",17.3,"adults",4352
"660","Stegastes nigricans","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",4352
"661","Stegastes obreptus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4353
"662","Stegastes partitus","plants","other plants","benthic algae/weeds",NA,"juv./adults",3652
"663","Stegastes pelicieri","plants","other plants","benthic algae/weeds",NA,"juv./adults",4354
"664","Stegastes pictus","plants","other plants","benthic algae/weeds",NA,"juv./adults",12417
"665","Stegastes planifrons","detritus","detritus","debris",NA,"juv./adults",3653
"666","Stegastes planifrons","plants","other plants","benthic algae/weeds",NA,"juv./adults",3653
"667","Stegastes planifrons","plants","phytoplankton","blue-green algae",NA,"juv./adults",3653
"668","Stegastes planifrons","plants","phytoplankton","diatoms",NA,"juv./adults",3653
"669","Stegastes planifrons","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",3653
"670","Stegastes planifrons","zoobenthos","cnidarians","n.a./other polyps",NA,"juv./adults",3653
"671","Stegastes planifrons","zoobenthos","worms","n.a./other annelids",NA,"juv./adults",3653
"672","Stegastes planifrons","zoobenthos","worms","polychaetes",NA,"juv./adults",3653
"673","Stegastes planifrons","zooplankton","fish (early stages)","fish eggs/larvae",NA,"juv./adults",3653
"674","Stegastes punctatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4351
"675","Stegastes punctatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4351
"676","Stegastes rectifraenum","plants","other plants","benthic algae/weeds",NA,"juv./adults",12516
"677","Stegastes rectifraenum","plants","other plants","benthic algae/weeds",NA,"juv./adults",12516
"678","Stegastes rocasensis","plants","other plants","benthic algae/weeds",NA,"juv./adults",12518
"679","Stegastes rocasensis","zoobenthos","other benth. invertebrates","n.a./other benth. Invertebrates",NA,"juv./adults",12518
"680","Stegastes variabilis","plants","other plants","benthic algae/weeds",NA,"juv./adults",3654
"681","Teixeirichthys jordani","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",10742
